order_id,order_date,customer_name,customer_segment,region,sales_rep,product_category,units,unit_price,discount_pct,order_value,payment_terms,status,delivery_days
MER-102426,2026-09-04,Customer 3062,Mid-Market,East,Sneha Kulkarni,Power Tools,2,7546.46,8,13885.49,Net 30,Delivered,3
MER-100736,2026-08-10,Customer 2511,Enterprise,East,Meera Iyer,Electricals,50,3323.09,12,146215.96,Net 60,CANCELLED,
MER-100137,2026-07-18,Customer 3484,Mid-Market,North,Sneha Kulkarni,Hand Tools,5,870.66,0,4353.30,Net 60,Cancelled,
MER-100752,2026-08-27,Customer 3166,SMB,West,Rahul Nair,Electricals,2,3458.62,0,6917.24,Net 30,Delivered,21
MER-102378,2026-07-09,Customer 4643,Mid-Market,East,Karan Bhatia,Pneumatics,25,5352.61,10,120433.73,Prepaid,Delivered,13
MER-100044,2026-07-12,Customer 1509,SMB,East,Arjun Desai,Pneumatics,1,5471.60,0,5471.60,Net 30,pending,
MER-100955,2026-07-27,Customer 2282,SMB,South,Priya Menon,Pneumatics,1,5124.09,5,4867.89,Prepaid,Delivered,2
MER-102996,2026-08-07,Customer 2025,SMB,West,Anita Rao,Lubricants,3,1307.96,0,3923.88,Prepaid,delivered,6
MER-103580,2026-09-11,Customer 2719,Mid-Market,South,Sneha Kulkarni,Safety Equipment,10,1959.93,0,19599.30,Net 60,Delivered,11
MER-103376,2026-07-11,Customer 3990,SMB,North,Meera Iyer,Hand Tools,2,825.18,0,1650.36,Net 60,Delivered,11
MER-100218,2026-07-26,Customer 2824,Mid-Market,South,Sneha Kulkarni,Fasteners,2,372.90,5,708.51,Net 30,delivered,17
MER-101582,2026-09-03,Customer 4137,SMB,North,Arjun Desai,Pneumatics,1,6336.89,0,6336.89,Net 30,Delivered,6
MER-102207,2026-07-14,Customer 4389,SMB,West,Rahul Nair,Pneumatics,2,5502.72,0,11005.44,Net 60,Delivered,11
MER-103062,2026-09-08,Customer 2929,Mid-Market,West,Meera Iyer,Hand Tools,10,1056.06,0,10560.60,Net 30,Delivered,18
MER-102674,2026-08-23,Customer 3977,SMB,North,Karan Bhatia,Safety Equipment,3,1606.20,0,4818.60,Net 60,Returned,8
MER-102232,2026-09-13,Customer 1922,SMB,North,Karan Bhatia,Lubricants,1,1442.08,5,1369.98,Net 30,Cancelled,
MER-103518,2026-08-05,Customer 2219,SMB,South,Rahul Nair,Power Tools,3,6844.77,0,20534.31,Net 60,Delivered,9
MER-101814,2026-08-14,Customer 1779,Enterprise,North,Vikram Shah,Electricals,10,3084.55,10,27760.95,Net 30,Delivered,14
MER-101135,2026-07-18,Customer 1528,SMB,North,Meera Iyer,Fasteners,2,313.00,0,626.00,Prepaid,Delivered,20
MER-101827,2026-07-03,Customer 2212,SMB,West,Sneha Kulkarni,Bearings & Drives,5,4558.68,0,22793.40,Net 30,Pending,
MER-103987,2026-07-18,Customer 4441,Enterprise,East,Priya Menon,Bearings & Drives,10,4527.57,5,43011.91,Prepaid,Delivered,17
MER-100656,2026-07-28,Customer 1407,Mid-Market,East,Sneha Kulkarni,Lubricants,10,1359.30,0,13593.00,Prepaid,Delivered,4
MER-102013,2026-09-21,Customer 4874,SMB,North,Meera Iyer,Lubricants,2,1380.09,5,2622.17,Net 30,RETURNED,3
MER-102739,2026-07-29,Customer 1345,Mid-Market,South,Arjun Desai,Electricals,2,3127.46,10,5629.43,Prepaid,Delivered,18
MER-101406,2026-09-26,Customer 3381,SMB,North,Arjun Desai,Fasteners,1,304.69,0,304.69,Prepaid,Delivered,13
MER-101029,2026-07-21,Customer 1621,SMB,West,Anita Rao,Pneumatics,5,4735.56,5,37170.08,Net 30,delivered,2
MER-103328,2026-08-16,Customer 2454,SMB,North,Vikram Shah,Electricals,5,3056.17,0,15280.85,Net 60,delivered,15
MER-102079,2026-07-26,Customer 2038,SMB,South,Rahul Nair,Bearings & Drives,5,4599.37,5,21847.01,Prepaid,Delivered,10
MER-103109,2026-07-15,Customer 1342,SMB,South,Sneha Kulkarni,Power Tools,1,8338.07,5,7921.17,Net 60,Delivered,6
MER-101697,2026-09-30,Customer 2300,Mid-Market, West,Karan Bhatia,Hand Tools,5,813.66,5,3864.88,Net 30,Delivered,11
MER-100734,2026-07-16,Customer 2026,Enterprise,East,Arjun Desai,Fasteners,5,371.29,12,1633.68,Net 60,Delivered,21
MER-103002,2026-08-15,Customer 4758,SMB,East,Arjun Desai,Hand Tools,1,906.87,0,906.87,Net 30,Delivered,14
MER-101332,2026-08-01,Customer 2606,Mid-Market,East,Karan Bhatia,Pneumatics,10,6137.07,8,56461.04,Prepaid,Delivered,2
MER-103228,2026-07-03,Customer 4106,Mid-Market,West,Meera Iyer,Fasteners,2,337.65,5,641.53,Net 60,Delivered,21
MER-103781,2026-08-07,Customer 4437,Enterprise,North,Vikram Shah,Bearings & Drives,10,4950.26,15,42077.21,Net 30,Returned,12
MER-101193,2026-09-11,Customer 3709,Mid-Market,West,Meera Iyer,Fasteners,5,278.51,8,1281.15,Net 30,Delivered,19
MER-103577,2026-08-30,Customer 3603,SMB,North,Arjun Desai,Pneumatics,2,4624.92,5,8787.35,Net 30,Delivered,12
MER-103422,2026-08-14,Customer 4388,Mid-Market,West,Arjun Desai,Safety Equipment,5,1676.34,10,7543.53,Net 60,cancelled,
MER-103814,2026-09-19,Customer 2576,Mid-Market,West,Anita Rao,Power Tools,5,8127.70,0,70996.00,Net 60,Delivered,21
MER-102669,2026-08-14,Customer 3862,Enterprise,South,Anita Rao,Electricals,10,3190.50,0,31905.00,Net 60,Delivered,12
MER-101446,2026-09-19,Customer 4447,SMB,North,Karan Bhatia,Lubricants,5,1506.21,0,7531.05,Net 30,Pending,
MER-100619,2026-07-19,Customer 4631,SMB,South,Rahul Nair,Lubricants,3,1515.46,0,4546.38,Net 30,Delivered,15
MER-102631,2026-08-24,Customer 4465,Enterprise,South,Anita Rao,Fasteners,5,307.86,8,2479.14,Net 60,delivered,19
MER-101309,2026-07-07,Customer 3132,Enterprise,South,Rahul Nair,Lubricants,10,1342.87,0,13428.70,Net 30,Cancelled,
MER-102358,2026-08-06,Customer 2031,Mid-Market,South,Arjun Desai,Fasteners,2,363.92,0,727.84,Net 30,cancelled,
MER-100121,2026-07-15,Customer 1688,SMB,East,Sneha Kulkarni,Hand Tools,2,924.96,0,1849.92,Net 30,delivered,13
MER-101715,2026-08-06,Customer 3559,SMB,South,Vikram Shah,Hand Tools,1,1112.19,5,1056.58,Net 30,Returned,14
MER-103248,2026-09-11,Customer 4411,Mid-Market,South,Sneha Kulkarni,Hand Tools,10,977.84,0,9778.40,Prepaid,Delivered,2
MER-100682,2026-09-02,Customer 4693,Enterprise,North,Meera Iyer,Pneumatics,25,4948.88,15,105163.70,Net 30,Delivered,4
MER-101668,2026-08-02,Customer 2697,SMB,West,Anita Rao,Safety Equipment,3,1841.60,5,8823.30,Net 30,Delivered,4
MER-101936,2026-09-06,Customer 2367,Mid-Market,North,Anita Rao,Power Tools,10,6957.44,10,94081.43,Net 30,Delivered,6
MER-100777,2026-08-01,Customer 4195,SMB,South,Priya Menon,Lubricants,2,1407.65,0,2815.30,Net 60,Delivered,21
MER-102697,2026-09-29,Customer 4115,Mid-Market, West,Sneha Kulkarni,Pneumatics,5,6315.46,10,28419.57,Net 30,Delivered,13
MER-100828,2026-09-07,Customer 1861,Mid-Market,East,Priya Menon,Hand Tools,5,848.06,8,3901.08,Net 30,Cancelled,
MER-102250,2026-07-28,Customer 4875,Mid-Market,South,Karan Bhatia,Fasteners,2,330.66,0,661.32,Net 30,Delivered,12
MER-101771,2026-09-04,Customer 4844,Enterprise,West,Vikram Shah,Safety Equipment,50,1546.11,8,127967.86,Net 60,delivered,4
MER-102926,2026-09-22,Customer 3246,SMB,South,Meera Iyer,Lubricants,2,1543.17,0,3086.34,Prepaid,Delivered,16
MER-103063,2026-08-07,Customer 4191,Mid-Market, West,Arjun Desai,Lubricants,5,1559.92,8,7175.63,Net 60,Delivered,12
MER-102511,2026-07-08,Customer 1848,Enterprise,West,Meera Iyer,Electricals,10,3636.58,0,67273.12,Net 30,Pending,
MER-102453,2026-07-10,Customer 2589,SMB,South,Karan Bhatia,Power Tools,1,6549.54,0,6549.54,Net 60,DELIVERED,14
MER-103788,2026-09-01,Customer 3692,Enterprise,West,Karan Bhatia,Pneumatics,25,4688.90,5,111361.37,Prepaid,Returned,16
MER-101424,2026-07-19,Customer 1473,Enterprise,South,Sneha Kulkarni,Electricals,100,2851.08,15,242341.80,Prepaid,Delivered,9
MER-103948,2026-09-28,Customer 1706,SMB,South,Vikram Shah,Electricals,1,3194.37,0,3194.37,Net 30,Delivered,2
MER-100537,2026-08-09,Customer 4136,Small Business,North,Vikram Shah,Hand Tools,2,1043.00,0,2086.00,Net 30,Delivered,11
MER-100686,2026-08-20,Customer 1568,Mid-Market,East,Anita Rao,Bearings & Drives,5,4730.14,0,23650.70,Prepaid,Pending,
MER-102923,2026-08-24,Customer 1633,Enterprise,West,Vikram Shah,Fasteners,100,299.26,15,25437.10,Net 30,DELIVERED,17
MER-100660,2026-08-09,Customer 2381,SMB,West,Rahul Nair,Safety Equipment,3,1672.69,5,4767.17,Prepaid,Delivered,13
MER-103439,2026-07-11,Customer 2053,Mid-Market,North,Priya Menon,Pneumatics,10,4652.15,0,46521.50,Net 30,delivered,14
MER-103627,2026-08-05,Customer 4907,Mid-Market,West,Rahul Nair,Pneumatics,10,6362.35,0,63623.50,Net 60,Delivered,9
MER-100341,2026-08-10,Customer 3833,SMB,West,Anita Rao,Pneumatics,5,5057.70,0,33510.43,Net 30,PENDING,
MER-101707,2026-09-06,Customer 2908,SMB,South,Priya Menon,Safety Equipment,1,1889.57,0,1889.57,Net 30,Delivered,8
MER-103560,2026-08-04,Customer 2126,Enterprise,West,Rahul Nair,Fasteners,5,298.35,10,2534.63,Net 30,Delivered,18
MER-102438,2026-09-05,Customer 2456,SMB,East,Rahul Nair,Lubricants,3,1489.36,5,4244.68,Prepaid,delivered,8
MER-103569,2026-09-09,Customer 3924,Mid-Market,West,Arjun Desai,Electricals,5,2788.15,5,13243.71,Net 60,Delivered,7
MER-102540,2026-08-22,Customer 2284,Mid-Market,West,Meera Iyer,Safety Equipment,5,1859.64,8,8554.34,Net 30,delivered,20
MER-102133,2026-07-23,Customer 2029,SMB,North ,Meera Iyer,Power Tools,3,7936.81,0,23810.43,Net 30,Delivered,17
MER-103625,2026-09-29,Customer 2277,Enterprise,North,Karan Bhatia,Pneumatics,5,5216.97,12,22954.67,Prepaid,Delivered,14
MER-102641,2026-07-06,Customer 3486,SMB, West,Rahul Nair,Bearings & Drives,1,4253.49,0,4253.49,Net 60,Delivered,5
MER-100901,2026-09-08,Customer 2446,Small Business,South,Anita Rao,Bearings & Drives,1,3696.21,5,3511.40,Net 60,Delivered,7
MER-101805,2026-07-23,Customer 1011,SMB,North,Anita Rao,Hand Tools,1,1089.16,0,1089.16,Net 30,Delivered,18
MER-100970,2026-08-08,Customer 3552,SMB,West,Vikram Shah,Hand Tools,1,1070.23,0,,Net 30,Delivered,2
MER-102139,2026-08-02,Customer 4900,Small Business, South,Karan Bhatia,Power Tools,3,6583.74,0,19751.22,Prepaid,DELIVERED,5
MER-103662,2026-09-25,Customer 4076,SMB,East,Karan Bhatia,Lubricants,2,1340.53,0,2681.06,Net 30,Pending,
MER-101832,2026-09-29,Customer 4344,Mid-Market,North,Arjun Desai,Fasteners,25,286.19,8,6582.37,Prepaid,Delivered,19
MER-102106,2026-08-27,Customer 3763,SMB,West,Anita Rao,Electricals,3,2918.00,0,13874.43,Net 30,Delivered,8
MER-100976,2026-07-09,Customer 3606,Small Business,West ,Vikram Shah,Bearings & Drives,2,3630.97,5,6898.84,Prepaid,Delivered,20
MER-100597,2026-08-17,Customer 1103,Mid-Market, South,Rahul Nair,Power Tools,2,6854.17,0,13708.34,Net 30,delivered,18
MER-103318,2026-07-16,Customer 2029,Enterprise,West,Meera Iyer,Pneumatics,10,6204.15,12,115776.38,Net 60,delivered,14
MER-102061,2026-07-15,Customer 4130,SMB,West,Meera Iyer,Bearings & Drives,3,4909.16,0,14727.48,Prepaid,Delivered,19
MER-100194,2026-08-07,Customer 1724,SMB,North,Meera Iyer,Power Tools,1,7422.01,0,7422.01,Net 60,Pending,
MER-101825,2026-08-27,Customer 4171,Mid-Market,East,Anita Rao,Electricals,5,3615.25,0,18076.25,Net 30,Delivered,21
MER-101819,2026-09-11,Customer 1396,Enterprise,West,Anita Rao,Bearings & Drives,50,4305.27,10,193737.15,Net 30,Delivered,6
MER-103706,2026-09-21,Customer 3847,Mid-Market,West,Rahul Nair,Power Tools,5,8541.57,0,42707.85,Net 30,Delivered,8
MER-103411,2026-08-17,Customer 1419,SMB,West,Sneha Kulkarni,Bearings & Drives,2,3796.54,0,7593.08,Net 60,Cancelled,
MER-102905,2026-09-17,Customer 3548,Enterprise,West,Karan Bhatia,Lubricants,50,1442.14,8,110874.80,Prepaid,Delivered,5
MER-102376,2026-07-07,Customer 4207,Mid-Market,East,Priya Menon,Safety Equipment,10,1960.83,8,18039.64,Net 60,Delivered,11
MER-102976,2026-09-03,Customer 4052,SMB,East,Meera Iyer,Hand Tools,5,1041.76,0,5208.80,Net 60,DELIVERED,4
MER-101786,2026-07-14,Customer 3367,Mid-Market,North ,Sneha Kulkarni,Power Tools,10,7932.71,0,79327.10,Prepaid,Delivered,5
MER-102314,2026-08-27,Customer 4294,SMB,West,Rahul Nair,Safety Equipment,2,1990.56,0,3981.12,Prepaid,Delivered,14
MER-103189,2026-07-16,Customer 4043,Enterprise,South,Vikram Shah,Safety Equipment,50,1982.67,0,99133.50,Net 60,CANCELLED,
MER-103804,2026-08-05,Customer 4671,SMB,West,Karan Bhatia,Bearings & Drives,5,4151.44,5,19719.34,Prepaid,Pending,
MER-100147,2026-07-04,Customer 4026,Enterprise,South,Karan Bhatia,Lubricants,5,1365.53,15,5803.50,Prepaid,Cancelled,
MER-100250,2026-08-02,Customer 2377,Mid-Market,East,Rahul Nair,Hand Tools,2,906.57,5,1722.48,Net 60,Cancelled,
MER-101055,2026-08-07,Customer 4129,Enterprise,West,Sneha Kulkarni,Fasteners,100,370.61,15,68053.27,Net 60,Delivered,6
MER-103105,2026-07-08,Customer 4500,SMB,North,Priya Menon,Pneumatics,1,4644.29,5,4412.08,Net 30,Delivered,6
MER-102658,2026-07-19,Customer 1106,Small Business,North,Arjun Desai,Hand Tools,3,1030.97,0,3092.91,Net 30,Delivered,4
MER-100379,2026-08-23,Customer 2329,Mid-Market,West,Karan Bhatia,Bearings & Drives,5,3657.12,5,17371.32,Net 30,Pending,
MER-103650,2026-09-29,Customer 3645,SMB,South,Meera Iyer,Lubricants,1,1375.44,5,1306.67,Net 30,returned,10
MER-102333,2026-08-01,Customer 1155,SMB,West,Anita Rao,Safety Equipment,2,1979.91,0,6725.90,Net 30,Delivered,11
MER-102764,2026-08-17,Customer 2900,Mid-Market,South,Rahul Nair,Power Tools,2,8441.74,10,15195.13,Net 30,Delivered,13
MER-102408,2026-09-24,Customer 3095,SMB,West,Arjun Desai,Bearings & Drives,2,4505.88,0,9011.76,Net 30,Delivered,16
MER-102533,2026-07-11,Customer 1729,Mid-Market, North,Arjun Desai,Pneumatics,2,5000.19,0,10000.38,Net 60,Delivered,3
MER-101951,2026-08-22,Customer 2572,SMB,North,Arjun Desai,Hand Tools,2,965.97,5,1835.34,Prepaid,Pending,
MER-103195,2026-08-11,Customer 2084,SMB,East,Vikram Shah,Hand Tools,1,1018.04,5,967.14,Prepaid,PENDING,
MER-101958,2026-08-31,Customer 1712,Mid-Market,North,Priya Menon,Power Tools,5,7396.83,5,35134.94,Net 30,Delivered,8
MER-101173,2026-08-24,Customer 4542,SMB,West,Sneha Kulkarni,Pneumatics,2,5687.80,0,11375.60,Prepaid,Cancelled,
MER-103714,2026-07-28,Customer 1767,Enterprise,North,Sneha Kulkarni,Safety Equipment,5,1922.21,0,9611.05,Prepaid,Delivered,15
MER-100000,2026-07-16,Customer 3118,Mid-Market,North,Rahul Nair,Power Tools,10,8394.29,5,79745.76,Net 60,delivered,17
MER-103008,2026-07-27,Customer 1848,Enterprise,South,Priya Menon,Electricals,50,3368.44,12,148211.36,Prepaid,Delivered,5
MER-103140,2026-09-24,Customer 4692,SMB,West,Arjun Desai,Hand Tools,2,901.16,0,1802.32,Net 60,Delivered,14
MER-102676,2026-08-29,Customer 3021,Mid-Market,North,Arjun Desai,Bearings & Drives,10,4854.96,0,48549.60,Net 30,Delivered,4
MER-103623,2026-07-11,Customer 2910,SMB,South,Anita Rao,Power Tools,1,7298.36,0,7298.36,Prepaid,Delivered,12
MER-101342,2026-08-02,Customer 2000,Mid-Market,North,Anita Rao,Hand Tools,25,857.47,8,19721.81,Net 60,Delivered,10
MER-100488,2026-08-23,Customer 4921,SMB,North,Sneha Kulkarni,Lubricants,1,1406.03,0,1406.03,Net 60,delivered,6
MER-101751,2026-07-31,Customer 1819,Enterprise,North,Meera Iyer,Fasteners,50,287.37,10,12931.65,Net 30,Delivered,17
MER-103818,2026-09-28,Customer 4442,Small Business,North,Arjun Desai,Bearings & Drives,5,4374.21,0,21871.05,Net 30,Delivered,4
MER-101931,2026-07-24,Customer 2151,Small Business,South,Karan Bhatia,Lubricants,1,1235.59,0,1235.59,Net 30,Delivered,15
MER-101110,2026-09-21,Customer 4776,SMB,West,Vikram Shah,Hand Tools,1,1096.80,0,1096.80,Net 60,Delivered,7
MER-103079,2026-09-18,Customer 3161,Mid-Market,South,Arjun Desai,Pneumatics,5,4821.29,0,24106.45,Net 30,Cancelled,
MER-100909,2026-09-21,Customer 1952,Mid-Market,North,Rahul Nair,Lubricants,5,1275.87,5,6060.38,Net 30,Delivered,6
MER-100306,2026-07-13,Customer 2423,Mid-Market,South,Priya Menon,Fasteners,25,349.88,0,8747.00,Net 30,Delivered,7
MER-102113,2026-08-21,Customer 2083,SMB,West,Vikram Shah,Fasteners,1,295.05,0,295.05,Prepaid,Delivered,11
MER-100318,2026-08-09,Customer 4494,Small Business,West,Vikram Shah,Power Tools,3,8412.66,5,23976.08,Net 30,Cancelled,
MER-102773,2026-09-01,Customer 2964,SMB,East,Anita Rao,Safety Equipment,1,1946.47,5,3488.26,Net 30,Delivered,5
MER-100565,2026-08-13,Customer 3089,SMB,West,Priya Menon,Hand Tools,1,881.49,5,837.42,Net 60,Delivered,19
MER-100771,2026-09-13,Customer 4453,SMB,West,Vikram Shah,Safety Equipment,3,1555.15,0,4665.45,Net 30,delivered,12
MER-100634,2026-08-11,Customer 4313,SMB,North,Karan Bhatia,Bearings & Drives,3,4594.89,0,,Prepaid,Delivered,17
MER-101566,2026-08-05,Customer 4788,Mid-Market,North,Vikram Shah,Fasteners,5,312.37,0,1561.85,Net 60,Delivered,5
MER-103700,2026-07-29,Customer 3702,SMB,North,Vikram Shah,Bearings & Drives,1,4763.85,0,4763.85,Net 30,Delivered,19
MER-103723,2026-08-09,Customer 2689,SMB,East,Karan Bhatia,Electricals,1,2729.44,0,2729.44,Net 60,DELIVERED,20
MER-100478,2026-09-26,Customer 3742,Mid-Market,South,Vikram Shah,Bearings & Drives,2,4190.14,0,8380.28,Net 30,delivered,4
MER-102024,2026-07-19,Customer 4373,Mid-Market,West,Anita Rao,Safety Equipment,5,1905.44,8,,Net 60,Delivered,8
MER-103014,2026-08-07,Customer 1188,Mid-Market,West,Priya Menon,Lubricants,5,1609.25,5,7643.94,Net 30,DELIVERED,3
MER-103764,2026-07-23,Customer 3976,Mid-Market,South,Meera Iyer,Electricals,2,3386.87,8,6231.84,Net 30,Delivered,2
MER-101240,2026-09-23,Customer 3015,Small Business,South,Anita Rao,Lubricants,2,1457.43,0,3989.79,Net 30,Delivered,6
MER-103429,2026-09-30,Customer 3870,SMB,West,Arjun Desai,Power Tools,1,8090.98,5,7686.43,Net 30,Delivered,3
MER-103457,2026-08-23,Customer 4102,SMB,West,Vikram Shah,Lubricants,1,1557.42,0,1557.42,Net 30,Delivered,21
MER-101331,2026-08-03,Customer 3234,Mid-Market,North,Arjun Desai,Pneumatics,5,5551.37,5,26369.01,Prepaid,Delivered,7
MER-101914,2026-08-02,Customer 4670,Enterprise,West,Arjun Desai,Safety Equipment,5,1660.41,12,7305.80,Net 30,Delivered,10
MER-102827,2026-09-28,Customer 4999,Small Business,South,Karan Bhatia,Hand Tools,3,1034.35,0,3103.05,Prepaid,CANCELLED,
MER-102396,2026-07-15,Customer 2007,Mid-Market,East,Karan Bhatia,Electricals,5,2940.29,0,14701.45,Net 30,DELIVERED,3
MER-101317,2026-09-05,Customer 4142,SMB,North,Vikram Shah,Electricals,2,3521.48,0,7042.96,Net 30,Delivered,11
MER-103654,2026-07-11,Customer 4027,SMB,West,Arjun Desai,Hand Tools,2,1036.93,0,2073.86,Prepaid,Delivered,5
MER-103395,2026-08-21,Customer 3765,Mid-Market,West,Sneha Kulkarni,Power Tools,5,7211.58,5,34255.00,Net 60,delivered,19
MER-103629,2026-08-17,Customer 2819,Mid-Market,East,Sneha Kulkarni,Lubricants,5,1289.02,5,6122.85,Net 30,PENDING,
MER-102891,2026-09-08,Customer 1556,SMB,West,Anita Rao,Bearings & Drives,3,4035.40,5,11500.89,Net 30,Delivered,16
MER-102025,2026-08-16,Customer 4655,Mid-Market,East,Vikram Shah,Bearings & Drives,5,3964.31,5,18830.47,Net 30,Delivered,12
MER-103720,2026-08-26,Customer 1718,Enterprise,South,Anita Rao,Safety Equipment,25,1879.81,15,39945.96,Net 30,Delivered,12
MER-101396,2026-07-16,Customer 3456,Mid-Market,East,Priya Menon,Fasteners,5,356.99,0,1784.95,Prepaid,DELIVERED,9
MER-101226,2026-07-20,Customer 3042,Mid-Market,West,Karan Bhatia,Lubricants,10,1275.14,10,11476.26,Net 60,delivered,12
MER-101552,2026-09-17,Customer 4162,Mid-Market,East,Vikram Shah,Lubricants,25,1570.49,8,36121.27,Net 60,Delivered,11
MER-101352,2026-08-20,Customer 4286,SMB,East,Vikram Shah,Electricals,2,3513.75,0,7027.50,Prepaid,Delivered,9
MER-101862,2026-09-27,Customer 1347,Enterprise,West,Karan Bhatia,Lubricants,50,1686.37,8,157074.67,Net 30,DELIVERED,12
MER-101008,2026-07-13,Customer 4394,Mid-Market,North ,Priya Menon,Power Tools,2,7573.14,10,13631.65,Net 30,Delivered,12
MER-103509,2026-09-24,Customer 4431,Mid-Market,West,Vikram Shah,Pneumatics,5,5346.77,0,26733.85,Net 30,Delivered,14
MER-101817,2026-09-12,Customer 1538,Mid-Market,West,Karan Bhatia,Power Tools,5,8824.95,5,41918.51,Net 30,Delivered,13
MER-101514,2026-07-07,Customer 4924,Mid-Market,East,Arjun Desai,Pneumatics,10,5717.33,0,57173.30,Net 60,DELIVERED,11
MER-100208,2026-08-27,Customer 1034,SMB,East,Vikram Shah,Pneumatics,0,4664.36,0,0.00,Net 30,Delivered,11
MER-102677,2026-07-07,Customer 1993,SMB,West,Karan Bhatia,Bearings & Drives,1,4577.66,5,4348.78,Net 30,Delivered,9
MER-100685,2026-08-27,Customer 4852,Mid-Market,South,Meera Iyer,Lubricants,2,1329.56,8,,Net 30,Pending,
MER-101716,2026-07-05,Customer 1330,SMB,North,Anita Rao,Hand Tools,2,922.24,0,1844.48,Net 60,Delivered,12
MER-101366,2026-09-26,Customer 4555,Enterprise,North,Sneha Kulkarni,Hand Tools,25,1091.32,0,27283.00,Prepaid,Delivered,18
MER-103296,2026-09-03,Customer 3570,Enterprise,North,Meera Iyer,Bearings & Drives,5,4594.99,5,21826.20,Net 30,Delivered,18
MER-100892,2026-07-14,Customer 1938,Mid-Market,South,Arjun Desai,Power Tools,2,8590.85,5,16322.61,Net 60,delivered,11
MER-101846,2026-09-28,Customer 3847,Enterprise,West,Meera Iyer,Pneumatics,50,6065.36,12,266875.84,Prepaid,Returned,10
MER-103389,2026-08-29,Customer 1577,Mid-Market, West,Priya Menon,Power Tools,2,8153.56,10,14676.41,Net 60,Pending,
MER-103359,2026-08-09,Customer 1806,Mid-Market,North,Sneha Kulkarni,Lubricants,5,1589.18,0,7945.90,Net 30,DELIVERED,13
MER-100347,2026-08-02,Customer 1408,SMB,North,Arjun Desai,Hand Tools,1,988.80,0,988.80,Prepaid,Delivered,8
